City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lagoa,39.05,-27.9833,59.38,84,95,13.85,PT,1681318992
84,dutlwe,-23.9833,23.9,73.96,28,0,2.98,BW,1681319600
85,half moon bay,37.4636,-122.4286,58.59,65,0,27.63,US,1681319257
86,san quintin,30.4833,-115.95,59.83,73,99,10.67,MX,1681319234
87,lucapa,-8.4192,20.7447,66.27,97,100,2.59,AO,1681319601
88,anaconda,46.1285,-112.9423,34.79,79,99,2.46,US,1681319601
89,susanville,40.4163,-120.653,51.64,32,0,11.5,US,1681319601
90,nyurba,63.2842,118.3319,20.37,94,100,5.35,RU,1681319602
91,nemuro,43.3236,145.575,36.5,77,36,11.18,JP,1681319213
92,cap malheureux,-19.9842,57.6142,76.46,82,65,9.53,MU,1681319602
93,caravelas,-17.7125,-39.2481,76.21,90,96,6.2,BR,1681319205
94,bathsheba,13.2167,-59.5167,84.81,61,40,18.41,BB,1681319129
95,bytosh,53.8186,34.0912,52.48,48,100,7.94,RU,1681319603
96,tilichiki,60.4667,166.1,-2.7,94,92,7.81,RU,1681319282
97,endwell,42.1129,-76.021,76.26,39,40,14.97,US,1681319604
98,nancha,47.1333,129.2667,30.63,65,2,4.36,CN,1681319605
99,skjervoy,70.0311,20.9714,39.2,72,18,18.68,NO,1681319606
100,santa lucia,27.9117,-15.5407,65.52,64,0,24.16,ES,1681319606
101,bethel,41.3712,-73.414,78.89,30,0,14.97,US,1681319147
102,ilulissat,69.2167,-51.1,26.62,86,75,8.05,GL,1681319150
103,burnie,-41.0667,145.9167,59.45,86,93,8.84,AU,1681319250
104,constitucion,-35.3333,-72.4167,62.37,73,100,5.77,CL,1681319148
105,cherskiy,68.75,161.3,-21.66,100,67,4.59,RU,1681319184
106,bandundu,-3.3167,17.3667,74.16,92,100,3.04,CD,1681319607
107,saldanha,-33.0117,17.9442,60.06,81,100,10.65,ZA,1681319259
108,port elizabeth,-33.918,25.5701,64.69,79,0,5.75,ZA,1681319143
109,launceston,-41.45,147.1667,57.15,91,100,12.66,AU,1681319279
110,cayenne,4.9333,-52.3333,86.04,70,75,14.97,GF,1681319168
111,iwanai,42.9744,140.5089,39.99,68,87,10.98,JP,1681319609
112,nanganga,-10.3833,39.15,73.31,98,95,3.83,TZ,1681319610
113,esperance,-33.8667,121.9,63.84,74,0,4.72,AU,1681318885
114,vilyuysk,63.7553,121.6247,2.23,98,24,4.25,RU,1681319610
115,hilo,19.7297,-155.09,72.28,93,100,5.75,US,1681319148
116,tuktoyaktuk,69.4541,-133.0374,-11.2,77,20,14.97,CA,1681319180
117,yumen,40.2833,97.2,50.25,43,99,15.23,CN,1681319612
118,nanortalik,60.1432,-45.2371,33.57,89,87,4.41,GL,1681319144
119,ngama,11.7833,17.1667,95.14,12,86,8.5,TD,1681319451
120,butaritari,3.0707,172.7902,81.28,75,97,5.19,KI,1681319147
121,dunedin,-45.8742,170.5036,52.81,99,100,1.01,NZ,1681319271
122,margate,51.3813,1.3862,48.9,70,53,13.0,GB,1681319273
123,carnarvon,-24.8667,113.6333,71.62,74,26,21.79,AU,1681319135
124,pimentel,-6.8367,-79.9342,88.09,55,75,13.8,PE,1681319614
125,kavaratti,10.5669,72.642,83.97,73,2,9.1,IN,1681319212
126,garowe,8.4054,48.4845,82.62,56,100,17.98,SO,1681319615
127,tasiilaq,65.6145,-37.6368,37.56,97,100,13.31,GL,1681319155
128,argostolion,38.1811,20.489,59.07,72,20,10.36,GR,1681319616
129,qaanaaq,77.484,-69.3632,5.74,76,100,1.95,GL,1681319143
130,khingansk,49.1167,131.1833,27.46,66,100,13.09,RU,1681319616
131,luganville,-15.5333,167.1667,78.84,86,36,1.48,VU,1681318887
132,conde,-7.2597,-34.9075,81.86,83,75,10.36,BR,1681319616
133,nioro,13.35,-15.75,103.39,18,41,1.1,GM,1681319617
134,mamit,23.9333,92.4833,69.01,34,0,2.66,IN,1681319617
135,bowen,-20.0167,148.2333,78.49,81,60,7.05,AU,1681319260
136,mitu,1.1983,-70.1733,88.61,58,92,1.23,CO,1681319617
137,acapulco,16.8634,-99.8901,89.42,51,0,5.75,MX,1681319299
138,zambezi,-13.5432,23.1047,69.58,79,100,3.38,ZM,1681319618
139,tyrma,50.0833,132.1667,28.9,95,100,1.28,RU,1681319618
140,khatanga,71.9667,102.5,16.7,82,100,25.93,RU,1681319172
141,troitskoye,52.9821,84.6757,31.39,66,83,6.17,RU,1681319618
142,ondjiva,-17.0667,15.7333,81.91,32,77,5.91,AO,1681319619
143,zhanaozen,43.3,52.8,70.47,33,84,8.48,KZ,1681319262
144,katete,-0.7818,29.7544,67.66,74,98,3.51,UG,1681319619
145,manado,1.487,124.8455,77.77,100,40,1.14,ID,1681319619
146,bay saint louis,30.3088,-89.33,68.07,73,0,9.22,US,1681319619
147,port lincoln,-34.7333,135.8667,57.54,75,2,6.58,AU,1681319143
148,nouadhibou,20.931,-17.0347,71.58,68,5,11.5,MR,1681319620
149,manaure,11.7751,-72.4445,87.91,55,97,15.61,CO,1681319620
150,berlevag,70.8578,29.0864,30.2,64,0,16.11,NO,1681319234
151,kavieng,-2.5744,150.7967,78.66,88,100,17.31,PG,1681319213
152,nikolskoye,59.7035,30.7861,49.89,86,15,7.02,RU,1681319166
153,tecoanapa,16.5167,-98.75,86.68,51,2,7.47,MX,1681319620
154,pokaran,26.9167,71.9167,89.06,17,43,4.07,IN,1681319621
155,praya,14.9215,-23.5087,73.71,70,6,8.97,CV,1681319621
156,mahebourg,-20.4081,57.7,76.24,81,78,6.82,MU,1681319265
157,codrington,-38.2667,141.9667,58.12,96,94,6.06,AU,1681319130
158,carutapera,-1.195,-46.02,83.8,78,88,7.54,BR,1681319213
159,camopi,3.1655,-52.3158,82.02,86,77,3.2,GF,1681319622
160,kemin,42.7846,75.6892,46.45,64,22,5.97,KG,1681319622
161,moron,-34.6534,-58.6198,67.75,67,98,8.05,AR,1681319176
162,sazonovo,59.0919,35.2268,46.45,72,25,4.29,RU,1681319622
163,cabo san lucas,22.8909,-109.9124,88.9,20,0,3.44,MX,1681319213
164,georgetown,5.4112,100.3354,85.98,80,20,5.99,MY,1681319185
165,papetoai,-17.4961,-149.8729,78.39,71,24,6.78,PF,1681319623
166,arandis,-22.4167,14.9667,70.9,30,0,5.46,NA,1681319623
167,bambous virieux,-20.3428,57.7575,79.05,83,40,0.0,MU,1681319133
168,isangel,-19.55,169.2667,78.91,84,2,4.65,VU,1681319210
169,bandarbeyla,9.4942,50.8122,83.37,72,23,11.32,SO,1681319154
170,borba,-4.3878,-59.5939,85.78,73,85,3.06,BR,1681319624
171,alyangula,-13.8483,136.4192,81.77,77,28,8.14,AU,1681319624
172,sile,41.1754,29.6133,52.57,73,99,10.63,TR,1681319624
173,abu samrah,35.3029,37.1841,49.35,83,100,17.45,SY,1681319624
174,dashitou,43.3067,128.5114,35.38,36,32,5.46,CN,1681319625
175,vila velha,-20.3297,-40.2925,80.94,71,75,6.91,BR,1681319208
176,dandong,40.1292,124.3947,43.45,62,20,6.64,CN,1681319317
177,necochea,-38.5473,-58.7368,58.69,56,78,15.97,AR,1681319198
178,cape town,-33.9258,18.4232,64.09,63,0,5.75,ZA,1681318861
179,hudson bay,52.85,-102.3842,38.03,81,100,13.2,CA,1681319317
180,santa maria,-29.6842,-53.8069,89.49,30,34,7.81,BR,1681319358
181,saskylakh,71.9167,114.0833,7.56,90,100,17.02,RU,1681319152
182,cidreira,-30.1811,-50.2056,85.15,47,30,2.55,BR,1681319041
183,marrakesh,31.6315,-8.0083,87.87,14,20,4.61,MA,1681319417
184,saint-philippe,-21.3585,55.7679,78.39,82,50,0.69,RE,1681319193
185,vestmannaeyjar,63.4427,-20.2734,47.39,57,0,17.27,IS,1681319139
186,hithadhoo,-0.6,73.0833,83.52,70,25,4.79,MV,1681319192
187,bubaque,11.2833,-15.8333,78.28,74,99,16.71,GW,1681319159
188,praia da vitoria,38.7333,-27.0667,62.76,83,100,8.88,PT,1681319274
189,tadine,-21.55,167.8833,75.96,86,27,2.77,NC,1681319627
190,ban pong,13.8163,99.8774,84.22,79,84,9.51,TH,1681319628
191,lima,-12.0432,-77.0282,80.85,61,75,11.5,PE,1681319529
192,yar-sale,66.8333,70.8333,-15.2,98,8,9.26,RU,1681319628
193,kuna,43.4918,-116.4201,46.96,57,100,11.5,US,1681319628
194,dubbo,-32.25,148.6167,55.53,88,75,8.05,AU,1681319628
195,tank,32.2217,70.3793,87.49,22,0,2.48,PK,1681319629
196,chakrata,30.7,77.85,54.75,40,13,7.25,IN,1681319629
197,jamestown,42.097,-79.2353,73.53,43,0,20.71,US,1681319002
198,nortelandia,-14.4547,-56.8028,87.58,59,81,4.25,BR,1681319340
199,san ramon,37.7799,-121.978,56.41,50,0,10.36,US,1681319147
200,havoysund,70.9963,24.6622,34.03,71,13,17.58,NO,1681319278
201,tambura,5.6,27.4667,79.02,61,100,2.13,SS,1681319630
202,namibe,-15.1961,12.1522,74.82,69,84,11.25,AO,1681319151
203,nadym,65.5333,72.5167,-14.73,100,50,9.1,RU,1681319242
204,srednekolymsk,67.45,153.6833,-4.31,97,77,4.7,RU,1681319147
205,neiafu,-18.65,-173.9833,77.68,83,40,8.05,TO,1681318883
206,nantucket,41.2835,-70.0995,73.54,42,0,12.66,US,1681318989
207,pacific grove,36.6177,-121.9166,56.01,72,40,21.0,US,1681319267
208,hasaki,35.7333,140.8333,55.8,58,100,24.56,JP,1681319291
209,aklavik,68.2191,-135.0107,-3.23,92,100,11.52,CA,1681319216
210,andenes,69.3143,16.1194,44.58,57,0,12.66,NO,1681319632
211,utica,43.1009,-75.2327,71.04,37,9,5.01,US,1681319588
212,airai,-8.9266,125.4092,61.03,94,59,2.21,TL,1681319217
